"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000027937.15",718,768,890,884,976,1100
"ENSMUSG00000027938.11",264,268,110,184,224,126
"ENSMUSG00000052310.9",2818,2524,2246,2432,2982,2540
"ENSMUSG00000027936.18",1338,1360,1580,1342,2022,1428
"ENSMUSG00000042404.16",1466,1258,1450,876,1198,800
"ENSMUSG00000099199.1",0,0,0,0,0,0
"ENSMUSG00000105350.1",30,10,15,16,48,4
"ENSMUSG00000042390.9",3882,5060,4725,5054,5990,3320
"ENSMUSG00000108394.1",20,34,24,26,8,10
"ENSMUSG00000108689.1",0,10,0,6,0,6
"ENSMUSG00000027932.14",1198,1056,810,674,830,930
"ENSMUSG00000027933.11",8454,8404,9934,8832,12232,8360
"ENSMUSG00000027931.12",773,761,746,652,925,799
"ENSMUSG00000087411.1",147,113,104,102,145,139
"ENSMUSG00000105746.1",0,2,0,4,0,2
"ENSMUSG00000001016.12",8368,9447,9198,7960,10006,8726
"ENSMUSG00000001018.15",1284,1657,1148,1336,1524,1474
"ENSMUSG00000001017.15",5628,7098,6646,7092,7848,7584
"ENSMUSG00000044080.9",195,196,32,17,48,56
"ENSMUSG00000042312.9",251,206,58,27,20,90
"ENSMUSG00000042306.11",10,0,20,6,0,20
"ENSMUSG00000074457.10",80,78,28,40,68,50
"ENSMUSG00000084456.1",0,0,0,0,0,0
"ENSMUSG00000094018.2",0,0,0,0,0,0
"ENSMUSG00000065079.1",0,0,0,0,0,0
"ENSMUSG00000001021.13",0,0,0,2,0,0
"ENSMUSG00000105518.1",0,0,0,0,0,0
"ENSMUSG00000001020.8",2,2,0,0,2,0
"ENSMUSG00000001023.10",0,0,0,0,0,0
"ENSMUSG00000001025.8",414,372,396,546,600,262
"ENSMUSG00000105644.1",0,0,2,0,0,0
"ENSMUSG00000063767.4",0,0,0,0,0,0
"ENSMUSG00000056054.9",0,0,0,0,0,0
"ENSMUSG00000056071.12",0,0,0,0,0,0
"ENSMUSG00000105819.1",0,0,0,0,0,0
"ENSMUSG00000106117.1",0,0,0,0,0,0
"ENSMUSG00000042250.13",0,0,0,0,0,0
"ENSMUSG00000105892.1",0,2,0,0,0,0
"ENSMUSG00000096621.2",0,0,0,0,0,0
"ENSMUSG00000106174.1",0,0,0,0,0,0
"ENSMUSG00000106257.1",0,2,0,0,0,0
"ENSMUSG00000105919.1",0,0,0,0,0,0
"ENSMUSG00000086377.1",2,0,0,0,0,0
"ENSMUSG00000091175.2",10,6,4,6,16,10
"ENSMUSG00000077085.1",0,0,0,0,0,0
"ENSMUSG00000042244.4",2,2,10,38,80,10
"ENSMUSG00000082826.1",0,0,2,0,0,0
"ENSMUSG00000096133.1",0,0,0,0,0,0
"ENSMUSG00000043165.7",2,0,0,2,12,0
"ENSMUSG00000104981.1",0,0,0,0,0,0
"ENSMUSG00000104791.1",0,0,0,0,0,0
"ENSMUSG00000106143.1",0,0,0,0,0,0
"ENSMUSG00000056270.3",0,0,0,0,0,0
"ENSMUSG00000027927.5",0,0,0,0,0,0
"ENSMUSG00000105476.1",0,0,0,0,0,0
"ENSMUSG00000118547.1",0,0,0,0,0,0
"ENSMUSG00000078664.2",0,0,0,0,0,0
"ENSMUSG00000068893.5",0,0,0,0,0,0
"ENSMUSG00000103286.1",0,0,0,0,0,0
"ENSMUSG00000103187.1",0,0,0,0,0,0
"ENSMUSG00000104028.1",0,0,0,0,0,0
"ENSMUSG00000103385.1",0,0,0,0,0,0
"ENSMUSG00000074445.4",0,0,0,0,0,0
"ENSMUSG00000050092.3",4,12,18,8,20,30
"ENSMUSG00000103518.1",0,0,0,0,0,0
"ENSMUSG00000103221.1",0,0,0,0,0,0
"ENSMUSG00000042212.3",0,0,0,0,0,0
"ENSMUSG00000055030.1",0,0,0,0,0,0
"ENSMUSG00000050635.1",0,0,0,0,0,0
"ENSMUSG00000046203.11",0,0,0,0,0,0
"ENSMUSG00000046259.2",0,0,0,0,0,0
"ENSMUSG00000042157.2",0,0,0,0,0,0
"ENSMUSG00000027925.2",0,0,0,0,0,0
"ENSMUSG00000042165.8",18,22,56,34,60,36
"ENSMUSG00000054215.2",0,0,0,0,0,0
"ENSMUSG00000048455.9",0,0,0,0,0,0
"ENSMUSG00000045539.3",0,0,0,0,0,0
"ENSMUSG00000102345.1",0,0,0,0,0,0
"ENSMUSG00000050359.7",0,0,0,0,0,0
"ENSMUSG00000045566.1",0,0,0,0,0,0
"ENSMUSG00000102308.1",0,0,0,0,0,0
"ENSMUSG00000049128.7",0,0,0,0,0,0
"ENSMUSG00000074435.10",0,0,0,0,0,0
"ENSMUSG00000103523.1",0,0,0,0,0,0
"ENSMUSG00000086848.3",0,0,0,0,0,0
"ENSMUSG00000057609.6",0,0,0,0,0,0
"ENSMUSG00000027923.3",0,0,0,0,0,0
"ENSMUSG00000104215.1",0,0,0,0,0,0
"ENSMUSG00000068890.8",0,0,0,0,0,0
"ENSMUSG00000042092.5",0,0,0,0,0,0
"ENSMUSG00000103243.1",0,0,0,0,0,0
"ENSMUSG00000091421.3",30,32,22,40,46,22
"ENSMUSG00000068889.1",0,0,0,0,0,0
"ENSMUSG00000042124.5",0,0,0,0,0,0
"ENSMUSG00000103084.1",0,0,0,0,0,0
"ENSMUSG00000027919.5",0,0,0,0,0,0
"ENSMUSG00000049593.8",0,0,0,0,0,0
"ENSMUSG00000068888.3",0,0,0,0,0,0
"ENSMUSG00000068887.4",0,0,0,0,0,0
"ENSMUSG00000095870.1",0,0,0,0,0,0
"ENSMUSG00000059832.4",0,0,0,0,0,0
"ENSMUSG00000102469.1",0,0,0,0,0,0
"ENSMUSG00000046676.4",0,0,0,0,0,0
"ENSMUSG00000090314.2",0,0,0,0,0,0
"ENSMUSG00000054325.5",0,0,0,0,0,0
"ENSMUSG00000042031.4",0,0,0,0,0,0
"ENSMUSG00000104364.1",0,0,0,0,0,0
"ENSMUSG00000045475.5",0,0,0,0,0,0
"ENSMUSG00000087835.1",0,0,0,0,0,0
"ENSMUSG00000043472.10",0,0,0,0,0,0
"ENSMUSG00000065665.1",0,0,0,0,0,0
"ENSMUSG00000074433.4",0,0,0,0,0,0
"ENSMUSG00000068885.4",0,0,0,0,0,0
"ENSMUSG00000027913.5",0,0,0,2,2,0
"ENSMUSG00000027912.8",0,0,0,0,0,0
"ENSMUSG00000104298.1",0,0,0,0,0,0
"ENSMUSG00000096879.2",0,0,0,6,12,0
"ENSMUSG00000103628.1",0,0,0,0,0,0
"ENSMUSG00000078657.6",0,0,0,0,0,0
"ENSMUSG00000103902.1",0,0,0,0,0,0
"ENSMUSG00000049133.7",0,0,0,0,0,0
"ENSMUSG00000102609.1",0,0,0,0,0,0
"ENSMUSG00000102439.4",0,0,0,0,0,0
"ENSMUSG00000081640.1",162,140,132,138,170,218
"ENSMUSG00000102485.1",0,0,0,0,0,0
"ENSMUSG00000103273.1",3,0,2,0,2,2
"ENSMUSG00000102476.1",3,0,2,0,2,2
"ENSMUSG00000041991.18",0,0,0,0,0,0
"ENSMUSG00000106242.1",0,0,0,0,0,0
"ENSMUSG00000103765.1",0,0,0,0,0,0
"ENSMUSG00000041984.2",0,0,0,0,0,0
"ENSMUSG00000104171.1",0,0,0,0,0,0
"ENSMUSG00000076037.1",0,0,0,0,0,0
"ENSMUSG00000057829.5",0,0,0,0,0,0
"ENSMUSG00000052415.5",6,4,6,14,16,8
"ENSMUSG00000027908.2",0,0,0,0,2,0
"ENSMUSG00000104135.1",0,0,0,0,0,0
"ENSMUSG00000027907.4",1006,1146,886,906,1080,1112
"ENSMUSG00000103031.1",0,0,0,0,0,0
"ENSMUSG00000041959.14",2786,2858,2320,2112,2386,2278
"ENSMUSG00000103406.1",0,0,0,2,0,0
"ENSMUSG00000104470.1",0,0,0,0,0,0
"ENSMUSG00000103362.1",0,0,0,0,0,0
"ENSMUSG00000094084.2",0,0,0,0,0,0
"ENSMUSG00000104144.1",0,0,0,0,0,0
"ENSMUSG00000103350.1",0,0,0,0,0,0
"ENSMUSG00000104229.1",0,0,0,0,4,0
"ENSMUSG00000102511.1",0,0,0,0,0,0
"ENSMUSG00000103210.1",0,0,0,0,0,0
"ENSMUSG00000068879.4",0,0,0,2,0,0
"ENSMUSG00000060256.1",0,0,0,2,6,0
"ENSMUSG00000058005.3",0,0,0,12,20,0
"ENSMUSG00000103512.1",0,0,0,0,0,0
"ENSMUSG00000102169.1",0,0,0,0,0,0
"ENSMUSG00000102933.1",0,0,0,0,0,0
"ENSMUSG00000102769.1",0,0,0,0,0,0
"ENSMUSG00000095822.2",0,0,0,0,0,0
"ENSMUSG00000102445.1",0,0,0,0,0,0
"ENSMUSG00000094163.1",0,0,0,0,0,0
"ENSMUSG00000103841.1",0,0,0,0,0,0
"ENSMUSG00000102804.1",0,0,0,0,0,0
"ENSMUSG00000104460.1",0,0,0,0,0,0
"ENSMUSG00000104059.1",0,0,0,0,0,0
"ENSMUSG00000102857.1",0,0,0,0,0,0
"ENSMUSG00000094328.2",0,0,0,2,0,0
"ENSMUSG00000102655.1",0,0,0,0,0,0
"ENSMUSG00000095251.1",0,0,0,0,0,0
"ENSMUSG00000102696.1",0,0,0,0,0,0
"ENSMUSG00000103239.1",0,0,0,0,0,0
"ENSMUSG00000102462.1",0,0,0,0,0,0
"ENSMUSG00000104338.1",0,0,0,0,0,0
"ENSMUSG00000102949.1",0,0,0,0,0,0
"ENSMUSG00000102311.1",0,0,0,0,0,0
"ENSMUSG00000102285.1",0,0,0,0,0,0
"ENSMUSG00000089826.1",0,0,0,0,0,0
"ENSMUSG00000074424.3",0,0,0,2,0,0
"ENSMUSG00000090268.1",0,0,0,0,0,0
"ENSMUSG00000090111.1",0,0,0,0,0,0
"ENSMUSG00000089689.1",0,0,0,2,0,0
"ENSMUSG00000089893.1",0,0,0,0,0,0
"ENSMUSG00000089696.3",0,0,0,6,0,0
"ENSMUSG00000089891.1",0,0,0,0,0,0
"ENSMUSG00000028145.9",114,136,142,146,166,126
"ENSMUSG00000105506.1",4,0,0,0,0,2
"ENSMUSG00000028148.11",82,50,6,94,108,4
"ENSMUSG00000105708.1",0,0,0,0,0,0
"ENSMUSG00000091648.2",0,0,0,0,0,0
"ENSMUSG00000104669.1",0,0,0,0,0,0
"ENSMUSG00000028150.14",9,7,6,6,9,8
"ENSMUSG00000105391.1",1,7,0,0,1,0
"ENSMUSG00000044505.5",0,0,0,0,0,0
"ENSMUSG00000097515.2",0,0,0,0,0,0
"ENSMUSG00000041912.12",38,89,40,45,81,42
"ENSMUSG00000106032.1",0,12,0,0,0,2
"ENSMUSG00000104756.1",0,0,0,4,6,0
"ENSMUSG00000028141.11",110,55,93,122,204,89
"ENSMUSG00000028140.13",1588,1508,1731,1663,1989,2003
"ENSMUSG00000104695.1",0,0,0,2,4,0
"ENSMUSG00000028139.5",1,7,8,0,4,0
"ENSMUSG00000028137.9",39,27,6,12,24,8
"ENSMUSG00000028136.15",3490,3778,4426,4136,4586,3004
"ENSMUSG00000106061.1",0,0,8,2,0,4
"ENSMUSG00000104631.1",0,2,2,0,0,0
"ENSMUSG00000105412.1",0,0,4,4,0,0
"ENSMUSG00000105522.1",0,0,0,0,0,0
"ENSMUSG00000062896.3",0,0,2,8,4,0
"ENSMUSG00000005968.14",136,182,134,196,168,180
"ENSMUSG00000118474.1",0,0,0,0,0,0
"ENSMUSG00000085250.1",0,0,0,0,0,0
"ENSMUSG00000085006.7",2,4,2,0,6,0
"ENSMUSG00000068877.12",0,0,0,0,0,0
"ENSMUSG00000081355.1",2,4,2,8,4,12
"ENSMUSG00000104881.1",0,0,0,0,0,0
"ENSMUSG00000068876.15",486,440,524,640,974,476
"ENSMUSG00000084058.1",0,0,0,0,0,0
"ENSMUSG00000038902.14",4364,4778,5210,5440,6624,3623
"ENSMUSG00000005779.12",8296,8010,7086,7840,10441,7612
"ENSMUSG00000087720.1",0,0,0,0,0,0
"ENSMUSG00000068874.13",88,132,22,50,50,46
"ENSMUSG00000005774.12",962,882,744,420,628,585
"ENSMUSG00000087660.1",212,236,194,114,174,173
"ENSMUSG00000038861.14",1963,2037,1875,1879,2483,1995
"ENSMUSG00000084846.1",137,115,142,111,149,126
"ENSMUSG00000086288.1",188,244,230,210,226,206
"ENSMUSG00000099033.1",3,2,0,0,0,4
"ENSMUSG00000019338.13",3719,3247,3036,2849,3988,2349
"ENSMUSG00000085956.1",112,120,134,152,162,78
"ENSMUSG00000005625.15",6870,6738,6608,7548,10078,8066
"ENSMUSG00000028126.16",2010,1948,2216,1974,2350,1676
"ENSMUSG00000064952.1",0,2,2,4,0,0
"ENSMUSG00000064590.1",4,4,2,2,6,6
"ENSMUSG00000008958.14",2040,1534,1808,1922,2686,2132
"ENSMUSG00000005628.12",20,14,0,8,14,14
"ENSMUSG00000092607.9",1060,960,758,838,1006,986
"ENSMUSG00000053769.5",32,58,62,36,61,36
"ENSMUSG00000098498.1",0,0,0,0,0,0
"ENSMUSG00000013707.3",4,4,0,16,16,8
"ENSMUSG00000098198.1",2,0,6,0,0,0
"ENSMUSG00000038777.19",1408,1198,1004,976,1666,796
"ENSMUSG00000038766.16",3536,4437,5217,4720,5023,3310
"ENSMUSG00000097167.1",101,127,97,77,124,69
"ENSMUSG00000053192.9",658,734,655,480,610,510
"ENSMUSG00000046722.14",4301,4332,3829,3333,4642,3397
"ENSMUSG00000068860.5",166,160,72,34,116,48
"ENSMUSG00000028115.16",80,84,42,36,16,48
"ENSMUSG00000015711.8",3986,4353,4010,4245,5259,3998
"ENSMUSG00000038712.16",4800,4741,5682,4184,5834,5180
"ENSMUSG00000015702.13",74,84,76,51,83,66
"ENSMUSG00000093424.3",20,14,28,7,23,10
"ENSMUSG00000015714.11",2546,2774,2855,2433,3279,3165
"ENSMUSG00000015697.14",7734,8403,9585,9651,10643,10039
"ENSMUSG00000105860.1",0,2,2,4,4,0
"ENSMUSG00000103900.1",6,3,0,11,25,2
"ENSMUSG00000105734.1",2,2,4,22,10,8
"ENSMUSG00000096177.2",14,8,0,4,6,0
"ENSMUSG00000104646.1",4,6,8,4,4,4
"ENSMUSG00000097532.2",108,118,132,150,166,84
"ENSMUSG00000015522.18",4164,4676,4014,4562,5444,3776
"ENSMUSG00000105395.1",4,2,6,2,2,0
"ENSMUSG00000028111.4",0,0,0,6,10,10
"ENSMUSG00000038642.10",0,0,0,0,0,0
"ENSMUSG00000083822.1",2,0,6,0,0,6
"ENSMUSG00000028109.14",118,218,52,168,74,62
"ENSMUSG00000046519.15",1264,1716,1218,1474,1442,1326
"ENSMUSG00000105460.1",0,2,6,2,2,0
"ENSMUSG00000060438.5",312,362,302,174,312,312
"ENSMUSG00000038619.12",3604,3970,3290,3446,4038,3034
"ENSMUSG00000106383.1",46,70,56,40,34,38
"ENSMUSG00000038612.16",8284,11794,9028,10520,10852,8500
"ENSMUSG00000015850.11",122,82,74,102,194,72
"ENSMUSG00000028108.15",139,102,136,80,194,107
"ENSMUSG00000098737.1",0,0,0,0,0,0
"ENSMUSG00000028107.14",3204,3326,3204,2964,4092,2724
"ENSMUSG00000028106.13",3618,3932,4586,3974,4762,2830
"ENSMUSG00000104967.1",0,0,0,4,0,0
"ENSMUSG00000089493.1",2,2,0,2,0,0
"ENSMUSG00000105093.1",6,12,10,4,4,0
"ENSMUSG00000015748.13",3596,3618,4320,3928,5356,4156
"ENSMUSG00000097189.1",4,18,12,4,4,4
"ENSMUSG00000054312.6",732,618,558,652,765,801
"ENSMUSG00000080727.2",63,72,25,77,95,48
"ENSMUSG00000038550.10",548,534,464,548,862,678
"ENSMUSG00000038543.13",67,82,69,155,170,125
"ENSMUSG00000015750.15",881,772,915,1068,1190,906
"ENSMUSG00000038526.14",34,41,21,41,16,21
"ENSMUSG00000015749.12",6300,7825,8082,9075,9588,6872
"ENSMUSG00000106262.1",56,148,90,88,86,30
"ENSMUSG00000106640.1",0,0,0,0,0,0
"ENSMUSG00000015745.9",312,204,142,202,242,90
"ENSMUSG00000015747.5",434,480,318,336,488,344
"ENSMUSG00000105995.1",4,6,0,2,8,2
"ENSMUSG00000038495.14",1616,1880,1670,1698,2152,1378
"ENSMUSG00000045934.15",206,232,138,158,216,121
"ENSMUSG00000097204.2",71,130,46,49,73,61
"ENSMUSG00000068856.3",2505,1942,3442,3705,5455,3628
"ENSMUSG00000084686.1",4,16,6,2,0,8
"ENSMUSG00000038486.9",316,240,188,216,354,108
"ENSMUSG00000015943.11",530,244,392,484,660,462
"ENSMUSG00000086556.2",0,1,1,0,0,0
"ENSMUSG00000063689.4",0,1,1,0,8,0
"ENSMUSG00000068855.3",3,0,0,0,4,0
"ENSMUSG00000106431.1",3,0,0,0,4,0
"ENSMUSG00000068854.7",18,30,44,38,52,22
"ENSMUSG00000081058.5",0,0,4,4,12,0
"ENSMUSG00000093577.1",0,8,4,0,4,4
"ENSMUSG00000063954.7",0,0,0,0,2,0
"ENSMUSG00000106587.1",0,0,0,0,0,0
"ENSMUSG00000093553.1",0,8,8,2,4,2
"ENSMUSG00000064220.6",0,0,0,0,0,0
"ENSMUSG00000070392.5",0,0,0,0,0,0
"ENSMUSG00000105610.1",0,0,0,0,0,0
"ENSMUSG00000093769.4",0,0,0,0,0,0
"ENSMUSG00000093507.1",2,4,8,4,18,8
"ENSMUSG00000091405.2",4,18,6,8,8,12
"ENSMUSG00000103940.1",2,2,2,2,8,0
"ENSMUSG00000093656.1",9,3,3,2,25,6
"ENSMUSG00000074403.2",3,0,2,0,0,0
"ENSMUSG00000050936.5",4,2,6,4,24,0
"ENSMUSG00000105827.1",3,0,0,1,8,3
"ENSMUSG00000015947.10",0,0,0,0,0,0
"ENSMUSG00000095701.1",4,0,0,0,0,0
"ENSMUSG00000097851.5",0,0,0,4,2,10
"ENSMUSG00000097807.1",0,0,0,0,2,0
"ENSMUSG00000095580.1",0,0,0,0,0,0
"ENSMUSG00000093834.1",0,0,0,0,0,0
"ENSMUSG00000097539.1",0,0,0,0,0,0
"ENSMUSG00000097299.1",0,0,0,0,0,0
"ENSMUSG00000097041.1",4,0,4,0,0,0
"ENSMUSG00000095836.3",14,22,8,6,16,18
"ENSMUSG00000118406.1",0,0,0,0,0,0
"ENSMUSG00000064796.1",0,0,0,0,0,0
"ENSMUSG00000095513.1",0,0,0,0,0,0
"ENSMUSG00000046317.14",0,0,0,0,4,0
"ENSMUSG00000096838.1",0,0,0,0,0,0
"ENSMUSG00000104642.1",2,2,2,0,2,2
"ENSMUSG00000106429.1",0,4,0,0,0,0
"ENSMUSG00000065773.1",0,0,0,0,0,0
"ENSMUSG00000106641.1",28,32,0,12,34,6
"ENSMUSG00000098392.1",10,0,0,0,0,0
"ENSMUSG00000095260.1",0,0,0,0,0,0
"ENSMUSG00000094812.1",0,0,0,0,0,0
"ENSMUSG00000038403.10",10,10,2,30,26,34
"ENSMUSG00000074398.5",952,937,396,781,840,379
"ENSMUSG00000038393.14",6444,7039,2716,5205,5832,3209
"ENSMUSG00000087610.1",69,25,35,34,45,12
"ENSMUSG00000028104.14",381,401,187,262,287,118
"ENSMUSG00000049097.9",32,36,34,52,80,24
"ENSMUSG00000049288.4",428,476,229,367,431,143
"ENSMUSG00000045327.7",54,40,31,35,25,31
"ENSMUSG00000038374.10",6204,6164,5182,6278,7688,6008
"ENSMUSG00000028102.15",510,666,352,414,562,484
"ENSMUSG00000106447.1",0,0,0,2,0,0
"ENSMUSG00000090210.7",34,66,50,22,68,20
"ENSMUSG00000105144.1",0,0,0,0,0,2
"ENSMUSG00000038354.13",1736,1538,886,1210,1628,556
"ENSMUSG00000028101.18",2218,2012,2006,1696,2266,1268
"ENSMUSG00000028100.11",268,210,100,130,178,90
"ENSMUSG00000028099.8",2170,2442,2438,2248,2826,2164
"ENSMUSG00000065669.1",6,2,26,10,4,18
"ENSMUSG00000104795.1",42,26,20,8,12,14
"ENSMUSG00000028098.13",1684,2252,2016,2000,1872,2008
"ENSMUSG00000105976.1",28,20,4,4,10,2
"ENSMUSG00000038304.14",2,0,2,4,0,6
"ENSMUSG00000038298.14",146,157,74,109,159,56
"ENSMUSG00000087223.2",2,0,0,0,1,0
"ENSMUSG00000028096.13",851,970,1062,919,1079,866
"ENSMUSG00000057123.14",19,27,42,32,35,16
"ENSMUSG00000049908.6",2,0,0,0,0,0
"ENSMUSG00000105385.1",0,0,0,0,0,0
"ENSMUSG00000104766.1",0,0,0,0,0,0
"ENSMUSG00000106324.1",0,0,0,2,0,0
"ENSMUSG00000088511.1",0,0,0,0,0,0
"ENSMUSG00000028093.15",2538,2940,1956,2414,3406,1976
"ENSMUSG00000038256.15",1698,1650,1914,1730,2204,1296
"ENSMUSG00000106536.1",0,2,0,2,8,6
"ENSMUSG00000104745.1",0,0,0,0,0,0
"ENSMUSG00000051392.5",0,0,0,0,0,0
"ENSMUSG00000028089.5",2357,2438,2255,1941,2410,1791
"ENSMUSG00000105004.1",21,8,3,17,20,7
"ENSMUSG00000028088.14",34,42,12,16,38,36
"ENSMUSG00000038205.12",886,1055,1121,983,1248,833
"ENSMUSG00000090441.2",4,15,5,9,10,5
"ENSMUSG00000038170.15",2134,2206,1510,1524,1868,1288
"ENSMUSG00000098381.1",0,0,0,0,0,0
"ENSMUSG00000105245.1",0,2,0,4,0,2
"ENSMUSG00000086557.1",0,0,0,0,0,0
"ENSMUSG00000027879.9",1838,2158,1776,1954,2420,2150
"ENSMUSG00000074388.3",0,0,0,0,0,0
"ENSMUSG00000027878.11",2162,1780,1848,1988,2284,1450
"ENSMUSG00000105728.1",0,0,0,0,0,0
"ENSMUSG00000106427.1",6,0,0,0,0,8
"ENSMUSG00000043468.4",0,0,0,0,0,0
"ENSMUSG00000106486.1",0,0,0,0,0,0
"ENSMUSG00000027876.4",4,0,0,0,0,0
"ENSMUSG00000104842.1",0,0,0,0,0,0
"ENSMUSG00000027875.12",4,4,0,0,0,8
"ENSMUSG00000105909.1",0,0,0,0,0,0
"ENSMUSG00000053398.11",7360,6192,5074,4652,6160,5780
"ENSMUSG00000050064.14",24,77,34,28,34,14
"ENSMUSG00000090817.7",0,0,0,0,0,0
"ENSMUSG00000106107.1",0,0,0,0,0,0
"ENSMUSG00000106129.1",0,0,0,0,0,0
"ENSMUSG00000095143.5",0,0,0,0,0,0
"ENSMUSG00000105696.1",0,0,0,0,0,0
"ENSMUSG00000095388.7",0,0,0,0,0,0
"ENSMUSG00000105641.1",0,0,0,2,2,0
"ENSMUSG00000106456.1",0,0,0,0,0,0
"ENSMUSG00000038092.6",0,0,0,0,0,0
"ENSMUSG00000081919.2",0,0,0,0,0,0
"ENSMUSG00000083331.1",0,0,0,0,0,0
"ENSMUSG00000063730.13",0,0,0,2,0,2
"ENSMUSG00000062410.14",0,1,0,2,0,0
"ENSMUSG00000027869.14",0,0,0,0,0,0
"ENSMUSG00000083222.1",0,0,0,0,0,0
"ENSMUSG00000082185.1",0,0,2,0,2,0
"ENSMUSG00000082089.1",0,0,0,0,0,0
"ENSMUSG00000083577.1",0,0,0,0,0,0
"ENSMUSG00000082589.1",0,0,0,0,0,0
"ENSMUSG00000027871.16",0,0,0,0,0,0
"ENSMUSG00000027870.8",0,0,0,0,0,0
"ENSMUSG00000085121.2",0,0,0,0,0,0
"ENSMUSG00000086833.2",0,0,0,0,0,0
"ENSMUSG00000083888.1",0,0,0,0,0,0
"ENSMUSG00000065709.1",0,0,0,0,0,0
"ENSMUSG00000088884.1",0,0,0,0,0,0
"ENSMUSG00000004233.14",416,466,432,418,488,446
"ENSMUSG00000105472.1",2,6,2,12,4,4
"ENSMUSG00000105798.1",0,0,0,0,0,0
"ENSMUSG00000098918.1",0,0,0,2,0,0
"ENSMUSG00000106197.1",20,32,18,14,6,14
"ENSMUSG00000027868.11",268,294,42,68,66,54
"ENSMUSG00000105689.1",0,4,0,0,0,2
"ENSMUSG00000081183.1",0,0,0,0,0,0
"ENSMUSG00000080832.4",2,2,0,4,0,0
"ENSMUSG00000083938.2",0,0,0,0,0,0
"ENSMUSG00000064890.1",0,0,0,0,0,0
"ENSMUSG00000027867.10",182,198,235,204,251,244
"ENSMUSG00000080754.1",0,0,0,0,0,0
"ENSMUSG00000082763.1",0,0,0,0,0,0
"ENSMUSG00000085244.8",0,0,0,0,0,0
"ENSMUSG00000033285.15",4146,4465,6323,5510,6080,5098
"ENSMUSG00000027865.10",510,731,638,648,661,606
"ENSMUSG00000064573.1",0,0,0,0,0,0
"ENSMUSG00000081440.2",0,2,2,2,4,0
"ENSMUSG00000086923.1",0,0,0,0,0,0
"ENSMUSG00000106639.1",0,0,0,0,0,0
"ENSMUSG00000044468.14",80,118,142,172,246,108
"ENSMUSG00000053957.5",2,0,0,0,0,0
"ENSMUSG00000104943.1",16,36,12,16,10,6
"ENSMUSG00000008763.16",2118,2834,2694,2526,2504,2116
"ENSMUSG00000105824.1",6,4,0,4,0,0
"ENSMUSG00000105137.1",6,0,8,2,8,0
"ENSMUSG00000105561.1",8,12,26,20,12,2
"ENSMUSG00000106184.1",2,4,0,2,0,0
"ENSMUSG00000083842.1",0,0,0,0,2,0
"ENSMUSG00000106227.1",0,0,0,0,2,0
"ENSMUSG00000087759.1",0,0,0,0,0,0
"ENSMUSG00000051076.8",0,0,0,0,0,0
"ENSMUSG00000033233.17",488,386,226,326,376,220
"ENSMUSG00000033222.16",4360,4572,4376,4660,5418,3902
"ENSMUSG00000082000.1",0,1,0,6,0,0
"ENSMUSG00000086564.9",6,0,0,4,0,0
"ENSMUSG00000027864.9",6672,6469,4290,3640,4424,4716
"ENSMUSG00000105717.1",2,16,6,18,2,4
"ENSMUSG00000082415.1",0,0,0,0,0,0
"ENSMUSG00000083546.1",0,0,0,0,0,0
"ENSMUSG00000081569.1",30,4,10,2,6,12
"ENSMUSG00000027863.8",112,92,24,48,80,154
"ENSMUSG00000072381.3",2,0,6,0,4,18
"ENSMUSG00000106316.1",0,0,0,0,0,0
"ENSMUSG00000042035.11",2539,2449,846,1325,1582,525
"ENSMUSG00000104639.1",2,4,2,4,2,4
"ENSMUSG00000105611.1",0,0,0,0,0,0
"ENSMUSG00000106137.1",86,63,14,37,30,13
"ENSMUSG00000033161.10",20690,19892,25312,19128,24874,20670
"ENSMUSG00000104737.1",22,18,20,2,10,12
"ENSMUSG00000104693.1",4,0,0,14,0,4
"ENSMUSG00000106070.1",0,0,0,0,0,0
"ENSMUSG00000105642.1",0,0,0,0,0,0
"ENSMUSG00000044313.13",232,244,180,130,190,90
"ENSMUSG00000033147.16",8,8,0,22,8,0
"ENSMUSG00000048540.8",2,2,0,0,0,0
"ENSMUSG00000104930.1",0,0,0,2,2,4
"ENSMUSG00000105346.1",0,6,0,2,0,2
"ENSMUSG00000027861.13",168,274,928,690,758,1478
"ENSMUSG00000105342.1",0,2,4,0,2,0
"ENSMUSG00000106296.1",42,80,70,58,72,70
"ENSMUSG00000027860.15",3730,3590,3334,3400,4722,2482
"ENSMUSG00000089916.1",8,0,0,2,0,0
"ENSMUSG00000105151.1",0,0,0,2,4,2
"ENSMUSG00000105891.4",0,2,0,0,0,0
"ENSMUSG00000105966.1",0,0,0,0,0,0
"ENSMUSG00000106459.1",0,0,0,0,0,0
"ENSMUSG00000027859.10",0,0,0,2,4,2
"ENSMUSG00000106121.1",0,0,0,2,0,0
"ENSMUSG00000104619.1",0,0,0,0,0,0
"ENSMUSG00000104685.1",0,0,0,0,0,0
"ENSMUSG00000105498.1",0,0,0,0,0,0
"ENSMUSG00000105570.1",0,4,0,0,0,0
"ENSMUSG00000086745.1",0,8,2,2,0,0
"ENSMUSG00000027858.13",84,138,60,84,130,46
"ENSMUSG00000027857.10",0,0,4,0,0,0
"ENSMUSG00000105855.1",0,0,0,0,0,0
"ENSMUSG00000027855.13",122,226,86,268,152,118
